package_id,package_name,package_category,package_description,package_price,package_status,p_image_url,city_id_ref
1,Bangalore-Iskon-Pack,Flexi,"Wanderla is a beautiful destination that attracts many visitors, and nearby is the stunning ISKCON temple. The temple is a popular spot for devotees and tourists alike, who come to soak in the serene atmosphere and marvel at the intricate architecture. Wanderla and ISKCON temple make for an unforgettable experience.",5000,Active,https://i.ibb.co/zR5yL4K/package1.jpg,1
2,Bangalore-National Gallery-Pack,Premium,"The National Gallery and High Court are two of Bangalore's most iconic landmarks. The National Gallery showcases an impressive collection of art and attracts art enthusiasts from all over. The High Court, on the other hand, is a grand building that serves as a hub for judicial activities. Both the National Gallery and High Court represent Bangalore's rich culture and heritage.",15000,Active,https://i.ibb.co/232Ljg1/package2.jpg,1
3,Bangalore-LalBaagh-Pack,Group,"Lalbagh and Ulsoor Lake are two of Bangalore's most picturesque destinations. Lalbagh is a sprawling botanical garden that boasts a diverse collection of plants and flowers, while Ulsoor Lake is a tranquil oasis that provides a much-needed escape from the hustle and bustle of the city. Both Lalbagh and Ulsoor Lake offer visitors a chance to reconnect with nature and unwind amidst stunning surroundings.",10000,Active,https://i.ibb.co/t3Qndjn/package3.jpg,1
4,Goa-Palolem-Pack,Flexi,"Palolem Beach is a pristine and picturesque destination in Goa that attracts visitors from all over the world. With its soft white sand, clear blue waters, and stunning backdrop of palm trees and hills, it's no wonder why Palolem Beach is considered one of the best beaches in Goa. Visitors can enjoy a range of activities, from swimming and sunbathing to kayaking and dolphin watching.",20000,Active,https://i.ibb.co/CzzDJCx/package8.jpg,2
5,Goa-Fort-Pack,Premium,"Fort Aguada is a historic and impressive fortification in Goa that dates back to the 17th century. The fort was built by the Portuguese to protect their colony from foreign invaders and served as a crucial defense post for many years. Today, visitors can explore the fort and enjoy stunning views of the Arabian Sea from its ramparts. Fort Aguada is a must-visit destination for history buffs and anyone interested in Goa's colonial past.",25000,Active,https://i.ibb.co/YyPcc9D/package9.jpg,2
6,Goa-Grande Island-Pack,Group,"Grande Island is a popular destination for adventure seekers in Goa. The island is known for its stunning coral reefs, colorful marine life, and pristine beaches. Visitors can enjoy a range of water sports activities, including snorkeling, scuba diving, and parasailing, while taking in the breathtaking views of the Arabian Sea. Grande Island is a must-visit for anyone looking to experience Goa's natural beauty and thrilling adventures.",15000,Active,https://i.ibb.co/0273JZN/project7.jpg,2
7,Hyderabad-Golkonda-Pack,Flexi,"Golkonda Fort is a historic and impressive fortification in Hyderabad that dates back to the 13th century. The fort was built by the Kakatiya dynasty and served as a crucial defense post for many years. Today, visitors can explore the fort and marvel at its stunning architecture, including the impressive ramparts and gates. Golkonda Fort is a must-visit destination for history buffs and anyone interested in Hyderabad's rich cultural heritage.",5000,Active,https://i.ibb.co/X5z2NdH/package4.jpg,3
8,Hyderabad-Birla-Pack,Premium,"Birla Mandir is a stunning temple in Hyderabad that is dedicated to Lord Venkateshwara. The temple is made of pure white marble and is surrounded by lush green gardens, providing a serene and peaceful atmosphere for devotees and visitors. The temple's intricate carvings and architecture are truly mesmerizing, making it a must-visit destination in Hyderabad for anyone interested in spiritual and cultural experiences.",10000,Active,https://i.ibb.co/MMYvFMS/package5.jpg,3
9,Hyderabad-Charminar-Pack,Group,"Charminar and Ramoji Film City are two of Hyderabad's most iconic landmarks. Charminar is a historic monument that dates back to the 16th century and is a symbol of the city's rich cultural heritage. Ramoji Film City, on the other hand, is a massive film studio complex that attracts visitors from all over the world. Both Charminar and Ramoji Film City offer visitors a chance to immerse themselves in Hyderabad's unique history and culture.",15000,Active,https://i.ibb.co/RCRWPvC/package6.jpg,3
10,Kashmir-Nigeen-Pack,Flexi,"Nigeen is a beautiful and serene lake in Kashmir that offers visitors a chance to unwind amidst stunning surroundings. The lake is surrounded by lush greenery and scenic mountains, providing a breathtaking backdrop for activities like boating and fishing. Nigeen is a must-visit destination in Kashmir for anyone looking to escape the hustle and bustle of the city and immerse themselves in nature's tranquility.",5000,Active,https://i.ibb.co/28TF7Zw/package10.jpg,4
11,Kashmir-Pahalgam-Pack,Premium,"Pahalgam is a scenic hill station in Kashmir that is known for its breathtaking beauty and stunning landscapes. The town is surrounded by snow-capped mountains, verdant forests, and pristine rivers, providing visitors with a range of outdoor activities to enjoy, including trekking, camping, and fishing. Pahalgam is a must-visit destination in Kashmir for anyone looking to explore the region's natural beauty and indulge in some outdoor adventures.",10000,Active,https://i.ibb.co/5xQ2Tkm/project12.jpg,4
12,Kashmir-Indira-Pack,Group,"Indira Gandhi Tulip Park is a stunning park located in Srinagar, Kashmir, named after the late Prime Minister of India. The park is famous for its vast collection of tulips, which bloom in spring, painting the entire park with vibrant colors. Visitors can take a leisurely stroll in the park, enjoy the breathtaking views of the Zabarwan Mountains, and indulge in local delicacies at the food stalls. Indira Gandhi Tulip Park is a must-visit destination in Kashmir for nature lovers and photography enthusiasts alike.",15000,Active,https://i.ibb.co/853VkDM/Untitled-Project.jpg,4
